id,razao_social,cnpj_8,municipio,codigo_ibge,natureza_juridica,latitude,longitude,distancia_km,raio_flag,is_target_200km,match_status,match_detail
581,FUNDACAO CATARINENSE DE ESPORTE - FESPORTE,73.360.505,SANTA CATARINA,42,Fundação Pública de Direito Público Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
582,VARA DE PRECATORIAS E PRECATORIOS,73.647.265,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
583,PROCURADORIA-GERAL DO ESTADO,76.276.823,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
584,MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA,76.276.849,SANTA CATARINA,42,Órgão Público Autônomo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
585,JUIZO DE DIREITO DA COMARCA DE PICARRAS,76.695.642,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
586,BAL CAMBORIU CARTORIO CIVEL DA 2 VARA,76.696.467,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
587,SANTA CATARINA SECRETARIA DO TRABALHO,78.266.905,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
588,XANXERE CARTORIO DO CIVEL E CRIME,78.472.826,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
589,FUNDO ROTATIVO REGIONAL SERRANO,78.490.869,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
590,NADIR CARLOS SANGALLI,78.503.307,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
591,CARTORIO DA 1 VARA CIVEL,78.664.216,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
592,BARRA VELHA CARTORIO DO CIVEL CRIME E ANEXO,79.361.515,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
593,COLEGIO ESTADUAL WANDERLEY JUNIOR,79.886.172,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
594,FUNDACAO MUNICIPAL DE ESPORTES,79.887.261,FLORIANOPOLIS,,Fundação Pública de Direito Público Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
595,FUNDACAO CULTURAL DE FLORIANOPOLIS FRANKLIN CASCAES,80.152.051,FLORIANOPOLIS,,Fundação Pública de Direito Público Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
596,SANTA CATARINA SECRETARIA ESPECIAL EM BRASILIA,80.460.520,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
597,SECRETARIA DE ESTADO DE GOVERNO,80.460.777,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
598,SC SECRETARIA DO DES URBANO E DO MEIO AMBIENTE,80.460.793,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
599,SECRETARIA DE ESTADO DO PLANEJAMENTO,80.460.835,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
600,FUNDO ESTADUAL DE SAUDE,80.673.411,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
601,SECRETARIA MUNICIPAL DE PLANEJAMENTO,80.675.374,FLORIANOPOLIS,,Órgão Público do Poder Executivo Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
602,SANTA CATARINA GOVERNO DO ESTADO,80.675.390,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
603,AUTARQUIA DE MELHORAMENTOS DA CAPITAL - COMCAP,82.511.825,FLORIANOPOLIS,,Autarquia Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
604,SANTA CATARINA CONSELHO ESTADUAL DE EDUCACAO,82.689.282,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
605,FUNDO ESPECIAL DE PROTECAO AO MEIO AMBIENTE,82.702.929,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
606,MUNICIPIO DE FLORIANOPOLIS,82.892.282,FLORIANOPOLIS,,Município,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
607,CONSELHO REGIONAL DE DESPORTOS DE SANTA CATARINA,82.896.622,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
608,ESTADO DE SANTA CATARINA,82.951.229,SANTA CATARINA,42,Estado ou Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
609,SANTA CATARINA SECRETARIA DO GOVERNO,82.951.237,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
610,SECRETARIA DE ESTADO DA SAUDE,82.951.245,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
611,SANTA CATARINA SECRETARIA DO OESTE,82.951.252,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
612,SANTA CATARINA SECRETARIA DO DESENVOLVIMENTO ECONOMICO,82.951.278,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
613,SANTA CATARINA SECRETARIA DOS SERVICOS PUBLICOS,82.951.286,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
614,SECRETARIA DE ESTADO DA SEGURANCA PUBLICA,82.951.294,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
615,SANTA CATARINA SECRETARIA DE ESTADO JUSTICA E CIDADANIA,82.951.302,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
616,SECRETARIA DE ESTADO DA FAZENDA,82.951.310,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
617,SECRETARIA DE ESTADO DA EDUCACAO,82.951.328,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
618,SECRETARIA DE ESTADO DA AGRICULTURA E PECUARIA,82.951.336,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
619,SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE (SIE),82.951.344,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
620,SECRETARIA DE ESTADO DA ADMINISTRACAO,82.951.351,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
621,FLORIANOPOLIS SECRETARIA MUNICIPAL DOS TRANS E OBRAS,82.953.225,FLORIANOPOLIS,,Órgão Público do Poder Executivo Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
622,FLORIANOPOLIS SECRETARIA MUNICIPAL ASSUNTOS NO ESTREITO,82.953.241,FLORIANOPOLIS,,Órgão Público do Poder Executivo Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
623,FLORIANOPOLIS SECRETARIA MUNICIPAL DE FINANCAS,82.953.258,FLORIANOPOLIS,,Órgão Público do Poder Executivo Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
624,FLORIANOPOLIS SECRETARIA EDUCACAO SAUDE ASSIT SOCIAL,82.953.266,FLORIANOPOLIS,,Órgão Público do Poder Executivo Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
625,ADMINISTRACAO DO PORTO DE SAO FRANCISCO DO SUL,83.131.268,SANTA CATARINA,42,Autarquia Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
626,SC - SECR DE ESTADO DO DESENV SOCIAL E DA FAMILIA,83.159.400,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
627,INSTITUTO DO MEIO AMBIENTE DO ESTADO DE SANTA CATARINA,83.256.545,SANTA CATARINA,42,Autarquia Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
628,TRIBUNAL DE CONTAS DO ESTADO DE SANTA CATARINA,83.279.448,SANTA CATARINA,42,Órgão Público Autônomo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
629,GABINETE DO VICE GOVERNADOR,83.279.620,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
630,GOVERNO DO ESTADO SECRETARIA EXTRAORDINARIA PARA O DESENVOLVIMENTO DO OESTE,83.308.775,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
631,PENITENCIARIA AGRICOLA DE CHAPECO,83.403.022,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
632,INSTITUTO DE PLANEJAMENTO URBANO DE FLORIANOPOLIS,83.469.965,FLORIANOPOLIS,,Autarquia Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
633,LAGES PRIMEIRA ESCRIVANIA,83.515.908,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
634,"CARTORIO JUDICIAL DA COMARCA DE PINHALZINHO (VARA UNICA - CIVEL, CRIME, FAZENDA PUBLICA, FAMILIA E ANEXOS)",83.524.306,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
635,JUNTA COMERCIAL DO ESTADO DE SANTA CATARINA,83.565.648,SANTA CATARINA,42,Autarquia Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
636,ASSEMBLEIA LEGISLATIVA DO ESTADO DE SANTA CATARINA,83.599.191,SANTA CATARINA,42,Órgão Público do Poder Legislativo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
637,MINISTERIO PUBLICO DE CONTAS DO ESTADO DE SANTA CATARINA,83.601.625,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
638,LAGES TERCEIRA ESCRIVANIA CIVEL,83.606.095,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
639,SEGUNDA ESCRIVANIA DO CIVEL E ANEXOS,83.609.164,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
640,MAFRA ESCRIVANIA DO CIVEL E COMERCIO,83.613.844,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
641,JOINVILLE ESCRIVANIA DA 2 VARA CIVEL,83.615.963,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
642,TAIO ESCRIVA DO CIVEL COMERCIO E ORFAOS,83.616.102,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
643,TAIO ESCRIVAO DO CRIME,83.616.110,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
644,MAFRA ESCRIVAO DO CRIME E FEITOS DA FAZENDA,83.616.128,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
645,SAO BENTO DO SUL CIVEL ORFAOS E ANEXOS,83.629.550,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
646,SANTA CECILIA ESCRIVAO DO CIVEL ORFAOS E ANEXOS,83.678.698,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
647,LAGES SEGUNDA ESCRIVANIA,83.679.407,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
648,SEARA CARTORIO DO CRIME E CIVEL,83.687.111,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
649,ESTADO DE SANTA CATARINA SECRETARIA DA IND E DO COMERCI,83.720.144,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
650,SANTA CATARINA SECRETARIA DE DESENVOLVIMENTO SOCIAL,83.720.599,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
651,FUNDACAO CATARINENSE DE CULTURA,83.722.462,SANTA CATARINA,42,Fundação Pública de Direito Público Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
652,SC SECRETARIA DE ESTADO DA CULTURA E DO ESPORTE,83.726.018,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
653,SAO FRANCISCO DO SUL CARTORIO DO 1 OFICIO CIVEL,83.744.052,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
654,BLUMENAU ESCR DA 3 VARA CIVEL FEITOS FAZ E ACID DO TRAB,83.778.902,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
655,BLUMENAU ESCRIVANIA DA 4 VARA CIVEL E MENORES,83.778.910,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
656,FLORIANOPOLIS CAMARA DE VEREADORES,83.841.338,FLORIANOPOLIS,,Órgão Público do Poder Legislativo Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
657,SANTA CATARINA TRIBUNAL DE JUSTICA,83.845.701,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
658,DEPARTAMENTO DE ESTRADAS DE RODAGEM,83.882.480,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
659,INSTITUTO DE PREVIDENCIA DO ESTADO DE SANTA CATARINA,83.882.498,SANTA CATARINA,42,Autarquia Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
660,FUNDO ROTATIVO REGIONAL DA GRANDE FLORIANOPOLIS,83.886.515,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
661,FUNDACAO UNIVERSIDADE DO ESTADO DE SC UDESC,83.891.283,SANTA CATARINA,42,Fundação Pública de Direito Público Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
662,INSTITUTO DE REFORMA AGRARIA DE SANTA CATARINA,83.900.472,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
663,FUNDACAO CATARINENSE DE EDUCACAO ESPECIAL,83.900.522,SANTA CATARINA,42,Fundação Pública de Direito Público Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
664,CONSELHO DE DESENVOLVIMENTO E INTEGRACAO SUL CODESUL,83.901.439,SANTA CATARINA,42,Autarquia Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
665,POLICIA MILITAR DO ESTADO DE SANTA CATARINA,83.931.550,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
666,IMPRENSA OFICIAL DO ESTADO DE SANTA CATARINA,83.931.659,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
667,FUNDO PARA MELHORIA DA SEGURANCA PUBLICA,85.280.147,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
668,FUNDO ESTADUAL DE TRANSPORTE,85.280.295,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
669,FUNDO ESPECIAL DE ESTUDOS JURIDICO E DE REAPARELHAMENTO,85.346.468,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
670,SANTA CATARINA DEP DE EDIFICACOES E OBRAS HIDRAULICAS,95.790.192,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
671,SANTA CATARINA SECRET DE EST DO DES URB E MEIO AMBIENTE,00.407.313,SANTA CATARINA,42,Órgão Público do Poder Executivo Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
672,JUIZADO ESPECIAL DE CAUSAS CIVEIS,00.512.716,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
673,CARTORIO DA VARA CRIMINAL DA COMARCA DE BALN CAMBORIU,00.662.150,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
674,FLORIANOPOLIS QUARTA VARA CRIMINAL,00.705.685,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
675,FUNDO ROTATIVO REGIONAL OESTE (FR-06),00.715.510,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
676,RIO DO SUL ESCRIVANIA DA PRIMEIRA VARA,00.726.938,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
677,RIO DO SUL ESCRIVANIA DA SEGUNDA VARA,00.726.941,SANTA CATARINA,42,Órgão Público do Poder Judiciário Estadual,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
678,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE FLORIANOPOLIS,00.909.972,FLORIANOPOLIS,,Fundação Pública de Direito Público Municipal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
679,FUNDO ESTADUAL DE HABITACAO POPULAR,00.915.782,SANTA CATARINA,42,Fundo Público da Administração Direta Estadual ou do Distrito Federal,-27.5945,-48.5477,0.0,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
