ranking,outreach_status,prioridade_abordagem,score_fornecedor,cnpj,razao_social,nome_fantasia,sede_municipio,sede_uf,sul_priority,cnae,situacao_cadastral,porte_cadastral,qtd_contratos_candidatos,orgaos_contratantes,valor_total_portfolio_analisado,melhor_contrato_id,melhor_orgao,melhor_classificacao,argumento_comercial,mensagem_abordagem,proxima_acao,riscos,email,telefone,site,contato_verificavel
21,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,44.19,20501854000169,ALCANCE ENGENHARIA E CONSTRUCAO LTDA,CONSTRUTORA ALCANCE,TEOFILO OTONI,MG,False,4120400 - Construção de edifícios,ATIVA,,22,AGESUL-Agência Estadual de Gestão de Empreendimentos de Campo Grande/MS | Agência Estadual de Gestão de Empreendimentos | DEPEN - DIRETORIA EXECUTIVA | DISTRITO SANIT.ESP.INDÍGENA - YANOMAMI | ESP-ESCOLA DE ENGENHARIA DE SÃO CARLOS | ESP-UNIVERSIDADE ESTADUAL DE CAMPINAS | GEPRO | MEC-UFRJ-UNIVERSID.FED.DO RIO DE JANEIRO/RJ | MUNICIPIO DE BATAGUASSU | PREFEITURA MUNICIPAL DE RONDONÓPOLIS - MT | SUPERINTENDENCIA REG.DEP.POLICIA FEDERAL - TO | UNIVERSIDADE FEDERAL DE VICOSA | UNIVERSIDADE FEDERAL DO CEARA | Universidade Estadual do Tocantins,991441979.33,21154554000113-2-000166/2025,GEPRO,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
22,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,43.82,12884672000510,SABARÁ QUÍMICOS E INGREDIENTES S.A.,,Americana,SP,False,,,,1,DAE Americana,8803179.0,46755690000190-2-000007/2024,DAE Americana,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
23,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,43.81,22788440000198,ONDA DURA,,Joinville,SC,True,,,,1,Instituto de Previdência Social dos Servidores Públicos de Joinville - IPREVILLE,11761722.0,01280363000190-2-000001/2025,Instituto de Previdência Social dos Servidores Públicos de Joinville - IPREVILLE,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
24,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,43.73,04348820000120,F FERREIRA LIMA LTDA,,Aripuanã,MT,False,,,,1,PREFEITURA MUNICIPAL DE ARIPUANÃ - MT,6930000.0,03507498000171-2-000072/2024,PREFEITURA MUNICIPAL DE ARIPUANÃ - MT,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
25,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,43.12,52020629000105,CONSTRUTORA BOA VISTA LTDA,,Ribeira do Pombal,BA,False,,,,1,Prefeitura Municipal de Ribeira do Pombal,7729647.26,13809397000109-2-000011/2024,Prefeitura Municipal de Ribeira do Pombal,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
26,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,42.75,40331747000147,R J A VICTOR CONSTRUTORA LTDA,R J A CONSTRUTORA,PRESIDENTE PRUDENTE,SP,False,7112000 - Serviços de engenharia,INAPTA,,1,Unidade administrativa,6430000.0,76247378000156-2-000415/2024,Unidade administrativa,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
27,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,33.24,00820854000114,QUALIDADE MINERACAO LTDA,,PALHOCA,SC,True,7112000,Ativa,,14,DER - Departamento de Estradas de Rodagem do Estado do Paraná | MUNICÍPIO DE PAULO LOPES | MUNICÍPIO DE SÃO MARTINHO | PREFEITURA MUNICIPAL DE BELA VISTA DO TOLDO - SC | PREFEITURA MUNICIPAL DE NOVA TRENTO | Prefeitura Municipal de Jaraguá do Sul | SECRETARIA DE INFRA-ESTRUTURA | Secretaria de Estado da Infraestrutura e Mobilidade | Unidade Única,369376486.36,82951344000140-2-000031/2024,Secretaria de Estado da Infraestrutura e Mobilidade,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
28,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,32.49,53673938000139,CONSORCIO VALE DO RIBEIRA,CONSORCIO VALE DO RIBEIRA,CURITIBA,PR,True,4211101 - Construção de rodovias e ferrovias,ATIVA,,1,DER - Departamento de Estradas de Rodagem do Estado do Paraná,56919000.0,76669324000189-2-000013/2024,DER - Departamento de Estradas de Rodagem do Estado do Paraná,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
29,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,31.19,54788172000109,SERRA LUZ SPE LTDA,,Rio Grande da Serra,SP,False,,,,1,Municipio De Rio Grande Da Serra,29724341.72,46522975000180-2-000051/2024,Municipio De Rio Grande Da Serra,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
30,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,30.6,58343745000133,CONSÃ“RCIO A. MADEIRA - STONENGE - COLATINA,,Colatina,ES,False,,,,1,PREFEITURA MUNICIPAL DE COLATINA,57317655.98,27165729000174-2-000134/2024,PREFEITURA MUNICIPAL DE COLATINA,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
31,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,30.47,76436849000174,"ENGEFOTO ENGENHARIA E AEROLEVANTAMENTOS LTDA - empresa Líder, , inscrita no CNPJ sob n.º 76.436.849/0001-74 e EVVIA ENGENHARIA E CONSULTORIA LTDA - empresa consorciada, inscrita no CNPJ/MF sob nº 32.612.424/0001-01",,Goiânia,GO,False,,,,3,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO | SUP. REG. DO DNIT NO ESTADO DE MATO GROSSO,171644602.25,01409580000138-2-001237/2024,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
32,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,30.42,20466571000123,FMV CONSTRUÇÕES E LOCAÇÕES DE EQUIPAMENTOS LTDA,,SAO GONCALO,RJ,False,4313400 - Obras de terraplenagem,ATIVA,,1,FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,78654241.37,42498600000171-2-001470/2025,FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
33,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,30.36,28955565000141,CONSTRUSAN SERVIÇOS INDUSTRIAIS LTDA.,CONSTRUTORA SANTO ANTONIO,CAMPOS DOS GOYTACAZES,RJ,False,"4213800 - Obras de urbanização - ruas, praças e calçadas",ATIVA,,1,FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,77132493.72,42498600000171-2-001469/2025,FUND DEP ESTRADAS DE RODAGEM DO ESTADO DO RJ,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
34,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,30.24,54967167000155,CONSORCIO ANDORINHAS,,Vitória,ES,False,,,,1,PREFEITURA MUNICIPAL DE VITORIA,49998000.0,27142058002099-2-000018/2024,PREFEITURA MUNICIPAL DE VITORIA,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
35,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,30.13,54995043000183,CONSORCIO MERGULHAO NORTE SUL,,Vitória,ES,False,,,,1,PREFEITURA MUNICIPAL DE VITORIA,77500000.0,27142058002099-2-000016/2024,PREFEITURA MUNICIPAL DE VITORIA,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
36,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.88,28542082000115,"CONSÓRCIO SOLUÇÃO DOR LOTE 8, formado pelas empresas NEOCONSTEC CONSULTORIA TÉCNICA LTDA, CNPJ sob nº 28.542.082/0001-15; PRODEC CONSULTORIA PARA DECISÃO S/S LTDA e SCB SERVIÇOS E CONSULTORIA EM BIM LTDA, CNPJ nº 22.642.758/0001-66",,Goiânia,GO,False,,,,4,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO | EES-DEPARTAMENTO EDIFICAÇÕES E RODOVIAS DO ES,243100230.68999997,01409580000138-2-001032/2024,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
37,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.86,04769095000163,"CONSÓRCIO NOVO GOIÁS, formado pelas empresas EGETRA ENGENHARIA LTDA (EMPRESA LÍDER); HOUER ENGENHARIA LTDA e ENGEPAVI CONSULTORIA E PROJETOS DE ENGENHARIA LTDA.EPP",,Goiânia,GO,False,,,,1,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,66093320.36,01409580000138-2-000151/2025,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
38,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.81,76509686000102,ETEL-ESTUDOS TECNICOS LTDA,,Goiânia,GO,False,,,,1,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,28064568.71,01409580000138-2-001236/2024,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
39,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.75,38743357000132,STRATA ENGENHARIA LTDA,,BELO HORIZONTE,MG,False,7112000 - Serviços de engenharia,ATIVA,,11,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO | DEPARTAMENTO NACIONAL INFRAEST.DE TRANSPORTES | DER/DPEI | DG/ASG | EMA - SECRETARIA EST.DA INFRAEST. DE SÃO LUIS | SUP. REG. DO DNIT NO ESTADO DE ALAGOAS | SUP. REG. DO DNIT NO ESTADO DE MATO GROSSO | SUP. REG. DO DNIT NO ESTADO DO MARANHÃO | SUP. REGIONAL DO DNIT NO ESTADO DA BAHIA | SUPERINT. REG. DO DNIT NO EST. DE RONDONIA | SUPERINTENDENCIA REGIONAL DO DNIT - AC,368410899.4,01409580000138-2-001037/2024,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
40,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,29.56,42722865000101,R.J. ENGENHARIA DE MANUTENCAO INDUSTRIAL LTDA,R.J. ENGENHARIA DE MANUTENCAO INDUSTRIAL,CURITIBA,PR,True,3314799 - Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,ATIVA,,2,SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE,36525373.0,08597121000174-2-000506/2024,SESA-FUNSAUDE - Fundo Estadual de Saúde do Paraná - FUNSAUDE,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
41,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.37,32116154000130,"CONSÓRCIO GERENCIADOR DSHRP, DYNATEST ENGENHARIA LTDA - (EMPRESA LÍDER)",,Goiânia,GO,False,,,,4,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO | DER/DI/GAO - COMPRAS | DER/DPEI | SUP. REG. DO DNIT NO ESTADO DE ALAGOAS,138165415.33,01409580000138-2-000507/2024,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
42,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.33,31187576000133,ATT – BAN – RECUPERAÇÃO,,Atibaia,SP,False,,,,1,Prefeitura Municipal da Estância de Atibaia,29872500.0,45279635000108-2-000135/2024,Prefeitura Municipal da Estância de Atibaia,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
43,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,29.3,33146648000120,CONCREMAT ENGENHARIA E TECNOLOGIA S/A (EMPRESA LÍDER),CONCREMAT,RIO DE JANEIRO,RJ,True,7112000 - Serviços de engenharia,ATIVA,,6,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO | PMSP - SECRETARIA DAS PREFEITURAS REGIONAIS | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | SUP. REG. DO DNIT NO ESTADO DE SERGIPE | SUP. REGIONAL DO DNIT NO ESTADO DA BAHIA | SUPERINTENDENCIA REGIONAL DO DNIT - AC,310557423.56999993,01409580000138-2-001248/2024,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
44,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.25,18365763000100,"CONSÓRCIO TJW - CAVA, formado pelas empresas: TJW CONSULTORIA PROJETOS ESERVIÇOS LTDA. - ME (Empresa líder), CNPJ: 18.365.763/0001-00 e CAVA ENGENHARIA DE INFRAESTRUTURA LTDA - empresa consorciada, CNPJ: 05.296.490/0001-39.",,Goiânia,GO,False,,,,1,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,28633148.64,01409580000138-2-001162/2024,AGENCIA GOIANA DE INFRAEST.E TRANSPORTES/GO,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
45,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,29.08,27482421000152,W F ENGENHARIA LTDA,,Vitória,ES,False,,,,3,PREFEITURA MUNICIPAL DE VITORIA | PROCURADORIA DA REPUBLICA/ES | UNIVERSIDADE FEDERAL DO ESPIRITO SANTO/ES,38271883.58,27142058002099-2-000026/2023,PREFEITURA MUNICIPAL DE VITORIA,REVIEW_REQUIRED,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Revisão documental: regime, data-base, índice e execução.","Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
